fill,lumi,nbx,SBIL,SBILerr,HFOCsig,HFOC err,HFOC FOM,HFOCFOMERR
6611,97.201,302,4.624710436,16.601583,819.0818821,2.872492955,0.980936386,0.003440111
6612,97.271,590,9.125536519,34.24730666,828.1691953,1.937714224,0.991819396,0.002320616
6612,97.271,590,5.194955056,32.95744132,824.1893611,2.794283006,0.987053127,0.003346447
6613,97.391,590,8.956422297,31.20629604,832.0346087,1.99920523,0.996448633,0.002394258
6614,97.399,590,9.647838221,25.01566443,833.2117799,1.992856763,0.997858419,0.002386655
6615,97.482,590,8.432194314,32.19383804,827.4589221,2.089232031,0.990968769,0.002502074
6615,97.482,590,6.062048988,29.54123831,831.8181249,2.482097819,0.996189371,0.002972572
6616,97.563,974,7.705379319,38.1625557,828.4348458,1.890453172,0.99213754,0.002264016
6616,97.563,974,4.541772622,26.99040971,834.3812541,2.96298676,0.999258987,0.003548487
6617,97.758,974,5.934358623,22.1363509,824.8491977,2.025680899,0.987843351,0.002425965
6617,97.758,974,3.899113134,30.41264176,830.1469032,3.10731805,0.994187908,0.003721339
6618,97.947,974,4.862431445,39.44290773,825.3713265,2.123020581,0.988468655,0.00254254
6618,97.947,974,4.057501999,24.24876597,834.9145598,2.731430065,0.999897676,0.003271174
6620,98.045,1214,8.728509946,36.45151071,837.8458158,1.886783037,1.003408163,0.00225962
6621,98.208,1214,7.864106116,33.08878029,916.3727208,2.123462017,1.09745236,0.002543068
6621,98.208,1214,3.87253392,29.85643593,826.780676,3.232198913,0.990156498,0.003870897
6624,98.483,1214,7.777876932,60.03520187,826.1705393,2.076442924,0.989425796,0.002486758
6624,98.483,1214,3.505433911,18.82737403,837.7321036,3.505236487,1.00327198,0.004197888
6628,98.755,1538,3.211040288,28.37040174,824.8828923,3.479089444,0.987883703,0.004166574
6628,98.755,1538,7.894894445,41.1154807,838.5009242,2.936463426,1.004192724,0.003516723
6629,99.123,1874,7.604270032,48.25712117,833.3408144,2.476122643,0.998012951,0.002965416
6633,99.532,1874,7.885907986,49.42538172,835.882122,2.095629282,1.001056433,0.002509736
6636,99.575,1874,7.198635272,50.81062524,853.3363382,2.148425222,1.021959686,0.002572964
6638,99.707,2162,7.428974694,50.9268291,836.417379,2.090926051,1.00169746,0.002504103
6638,99.707,2162,2.421791894,35.00246231,829.1137891,3.957094639,0.992950646,0.004739035
6639,100.242,2306,7.14168611,64.63500864,831.5396299,2.209792712,0.995855844,0.002646458
6639,100.242,2306,3.541226414,43.62173542,835.2080155,3.900327654,1.00024912,0.004671051
6640,100.72,2448,2.167069548,28.53188282,776.6000553,3.94675228,0.930059947,0.004726649
6641,101.069,2448,7.038522486,53.47518814,877.0747368,2.363366893,1.050388906,0.00283038
6642,101.448,2448,7.538168711,65.05318283,846.5641977,2.048174663,1.013849339,0.002452904
6643,101.674,2544,7.966368835,63.86957682,843.1771242,2.107966246,1.009792963,0.00252451
6645,101.703,2544,7.431663631,50.16440773,859.1680333,2.26094679,1.028943752,0.002707721
6646,101.824,2544,7.413130192,54.89326703,865.3541537,2.121905701,1.03635228,0.002541204
6648,101.955,2544,7.117637681,47.55451596,842.7024784,2.369489668,1.009224525,0.002837712
6648,101.955,2544,2.308200483,29.62361028,833.8103361,4.216986627,0.998575253,0.005050283
6650,102.5,2544,6.988168269,43.91084836,869.0705212,2.276162804,1.040803019,0.002725943
6654,102.833,2544,7.211873615,51.588322,844.9659011,2.37478014,1.011935211,0.002844048
6654,102.833,2544,3.655769384,46.91021473,839.7593019,3.547135122,1.005699763,0.004248066
6659,103.201,2544,6.568878592,47.77445165,847.3132194,2.253054755,1.014746371,0.002698269
6662,103.522,2544,7.242312613,61.08890191,840.4304879,2.142398218,1.006503578,0.002565746
6662,103.522,2544,2.572011331,39.98814474,835.6918521,3.910774965,1.000828565,0.004683563
6663,104.097,2544,6.775647465,58.22667369,842.0440334,2.21246143,1.008435968,0.002649654
6666,104.249,2544,6.938377364,59.05856157,844.7322669,2.35765821,1.011655409,0.002823543
6666,104.249,2544,2.324949533,40.55344381,831.6661941,4.21989132,0.996007418,0.005053762
6672,104.791,2544,6.981843111,46.61533157,839.4422099,2.289167446,1.005320012,0.002741518
6674,105.064,2544,7.622567739,45.44234421,847.0572487,2.24612679,1.014439819,0.002689972
6674,105.064,2544,2.462093642,34.96915968,829.7439429,4.119541198,0.993705321,0.004933582
6675,105.652,2544,7.95811567,63.18612951,853.1817579,2.23524543,1.02177456,0.002676941
6675,105.652,2544,2.901350554,39.41501564,831.7505062,3.91679643,0.996108391,0.004690774
6677,106.275,2544,8.323691561,58.32251902,845.8822892,2.186498916,1.013032682,0.002618562
6677,106.275,2544,2.694228582,31.44106576,831.9289631,3.995657204,0.996322111,0.004785218
6681,106.875,2544,7.138322323,63.81557946,849.4289329,2.431987496,1.017280159,0.00291256
6681,106.875,2544,2.423841893,28.52293253,824.9675912,4.431265628,0.987985139,0.005306905
6683,107.458,2544,7.696171692,58.10197778,843.3835918,2.160221561,1.01004023,0.002587092
6688,107.495,974,6.214663042,33.92522103,834.3605351,2.214855558,0.999234174,0.002652522
6688,107.495,974,4.71002797,36.43705848,826.0591279,2.715882743,0.989292369,0.003252554
6690,107.594,1214,7.588175223,42.91403814,841.9832638,2.194769214,1.00836319,0.002628466
6690,107.594,1214,4.436020956,34.20788508,853.1559974,3.044759496,1.021743709,0.003646419
6693,107.815,1874,6.707165144,48.86286788,844.1208006,2.102610465,1.010923114,0.002518096
6693,107.815,1874,3.227892674,26.9812852,836.7498755,3.332183393,1.002095659,0.003990639
6694,108.173,2162,7.591625926,62.36485709,838.5076758,2.027971053,1.004200809,0.002428708
6694,108.173,2162,3.532287406,30.01552639,846.3242403,3.309880797,1.013561964,0.003963929
6696,108.586,2544,7.497815549,53.12324678,843.7601253,2.296689686,1.010491168,0.002750527
6696,108.586,2544,3.507664135,44.13459948,831.7411931,3.47582302,0.996097237,0.004162662
6700,109.008,2544,7.139819277,52.24998416,850.1925889,2.535392534,1.018194717,0.003036398
6700,109.008,2544,2.482137438,34.78919854,827.0201804,4.239855889,0.99044333,0.005077672
6702,109.525,2544,7.378636953,66.70620306,843.5312606,2.440743967,1.010217079,0.002923047
6706,109.723,974,7.768399857,42.96142395,840.3453658,2.141348993,1.006401636,0.00256449
6706,109.723,974,6.014049227,35.6049701,843.0319852,2.604762415,1.009619144,0.003119476
6709,109.812,2544,7.620421819,41.90180949,833.3708671,2.978916014,0.998048943,0.003567564
6710,110.268,2544,7.241256248,61.90424857,846.9460521,2.212008611,1.014306649,0.002649112
6711,110.675,2544,6.550571175,49.95536567,841.798745,2.393403278,1.00814221,0.002866351
6711,110.675,2544,2.2651636,30.15313307,825.7310809,4.245618977,0.988899498,0.005084574
6712,111.194,2544,6.771881079,49.91346111,856.8458621,2.368125606,1.026162709,0.002836079
6712,111.194,2544,2.817569396,32.69424006,833.4601287,3.650404115,0.998155843,0.004371741
6714,111.675,2544,7.242761722,71.24462148,846.9241689,2.234392737,1.014280442,0.002675919
6714,111.675,2544,6.930368536,52.55234577,863.2406051,2.243541594,1.033821084,0.002686876
6714,111.675,2544,3.078292536,33.52034836,829.4481574,3.552345462,0.993351087,0.004254306
6719,112.264,2544,6.84820414,47.47157782,881.029632,2.353198265,1.055125308,0.002818202
6724,112.681,2544,4.467011973,31.25103022,876.6168453,3.113252844,1.049840533,0.003728447
6729,112.731,2544,6.526319972,50.08184837,862.6704128,2.309553874,1.033138219,0.002765933
6729,112.731,2544,2.851858168,38.41206522,827.7215991,3.636075295,0.991283352,0.004354581
6731,113.255,2544,6.706041275,56.97337251,843.5361525,2.330523197,1.010222937,0.002791046
6733,113.443,2544,6.52454717,52.33082357,847.8417484,2.353887432,1.015379339,0.002819027
6737,113.733,2544,6.413116439,52.88899417,851.102987,2.385717645,1.019285014,0.002857147
6738,113.745,2544,6.87173899,69.75392363,839.7708111,2.274738882,1.005713546,0.002724238
6738,113.745,2544,5.869855323,47.57869432,862.3501998,2.557676236,1.03275473,0.003063085
6738,113.745,2544,2.769305994,36.39610493,825.9810763,3.826973475,0.989198894,0.004583202
6741,114.276,2544,6.95728456,54.49461705,842.6075352,2.200585696,1.009110821,0.002635432
6741,114.276,2544,3.33185077,34.85795439,842.715646,3.485920268,1.009240295,0.004174755
6744,114.707,2544,5.915582375,57.21337788,843.9650893,2.443987327,1.010736634,0.002926931
6747,114.9,974,7.104705176,32.49833809,826.0427948,2.171522303,0.989272808,0.002600626
6749,114.972,2544,6.934683641,63.74001579,847.3026929,2.204304659,1.014733764,0.002639886
6749,114.972,2544,2.182588774,41.11510222,833.1344619,4.315401938,0.997765823,0.005168146
6751,115.54,2544,7.242257886,60.55926649,836.9475548,2.151368279,1.002332401,0.002576489
6751,115.54,2544,2.230264203,22.93194414,828.3138527,4.094107412,0.991992638,0.004903123
6752,116.088,2544,6.930691203,45.38791551,851.6962748,2.231894223,1.019995539,0.002672927
6755,116.336,2544,6.705792181,59.47329987,861.6131132,2.305385955,1.031871992,0.002760941
6757,116.4,2544,6.762613825,70.39370626,875.6292331,2.454173778,1.048657764,0.00293913
6757,116.4,2544,2.239834217,28.6998957,827.9187307,4.454278785,0.991519438,0.005334466
6759,116.927,2544,6.387464041,53.69985041,852.4575144,2.388893802,1.020907203,0.002860951
6759,116.927,2544,2.194596253,33.57011151,827.1744807,4.354408507,0.990628121,0.00521486
6761,117.456,2544,6.053874292,87.74211028,831.8768442,2.474556178,0.996259694,0.00296354
6761,117.456,2544,2.636567295,32.20989462,830.8989045,3.880035893,0.995088508,0.00464675
6762,117.918,2544,6.122409738,65.25893967,841.9503699,2.543493366,1.008323796,0.0030461
6763,118.297,2544,6.224959727,64.67535005,839.4792697,2.422007085,1.005364395,0.002900607
6768,118.771,2544,6.796953034,61.80285517,830.8366821,2.360026228,0.99501399,0.002826379
6770,118.892,2544,6.214699342,63.17233601,841.4302346,2.401827456,1.00770088,0.00287644
6770,118.892,2544,1.801554161,27.85516998,826.005208,4.318424423,0.989227794,0.005171766
6772,119.448,2544,5.748801031,58.23391247,837.9336557,2.537336421,1.00351336,0.003038726
6772,119.448,2544,1.548301999,22.80021063,831.5988599,4.823834907,0.995926778,0.005777048
6773,120.006,2544,4.92578375,50.25627573,835.2684118,2.437396857,1.000321451,0.002919038
6773,120.006,2544,1.699705741,24.33378119,822.9825009,4.429768039,0.985607786,0.005305111
6774,120.524,2544,5.322987625,49.88574417,841.2022003,2.536468495,1.007427785,0.003037687
6774,120.524,2544,1.671007878,16.81933827,829.4700436,4.489494314,0.993377298,0.00537664
6776,121.097,2544,5.182777457,41.7040409,833.4226155,2.381913957,0.998110917,0.002852592
6778,121.241,2544,5.851558174,42.36589973,836.0795347,2.414160295,1.001292856,0.00289121
6778,121.241,2544,5.909412234,41.76124547,833.3794232,2.498454837,0.998059189,0.002992161
6778,121.241,2544,4.413102474,32.77035602,828.9829514,2.848445,0.992793954,0.003411311
6847,121.488,140,6.918023128,17.06819997,801.7216618,2.397023286,0.960145703,0.002870687
6847,121.488,140,6.724125067,19.06271623,806.343612,0.883893547,0.965680973,0.001058555
6847,121.488,140,6.484868583,19.67251886,810.7723216,2.457093671,0.970984816,0.002942627
6850,121.506,590,7.03034783,21.95913176,826.5933855,2.187755261,0.989932198,0.002620066
6854,121.556,1214,6.773402655,53.26040815,815.137655,2.497989245,0.97621276,0.002991604
6854,121.556,1214,6.433255082,50.07156813,826.1763075,0.958236011,0.989432704,0.001147588
6854,121.556,1214,6.419638821,48.02573701,813.0164969,2.532941847,0.973672451,0.003033463
6858,121.639,1214,7.652479274,43.75786864,830.9920102,2.172091992,0.995200012,0.002601308
6860,121.658,2448,6.197306274,54.55165237,862.845102,2.533216235,1.033347428,0.003033792
6860,121.658,2448,4.028087892,28.9481174,838.1113369,3.313072232,1.003726152,0.003967751
6901,122.113,974,7.843228468,47.81676031,856.8071929,2.372324502,1.026116399,0.002841107
6901,122.113,974,4.220884211,39.27866163,817.3482675,3.606520825,0.978860201,0.004319187
6904,122.356,2448,5.911055432,40.07394103,831.1143662,2.416602781,0.995346546,0.002894135
6909,122.648,2544,6.153586117,46.62621784,850.5695657,2.377875206,1.018646187,0.002847755
6911,123.275,2544,5.640326606,46.80523681,837.1868165,2.514400277,1.002618942,0.003011258
6912,123.442,2544,5.982959287,48.54335138,843.1303634,2.535698841,1.009736962,0.003036765
6919,124.079,2544,5.631038084,36.69307546,839.6672746,2.429162346,1.00558955,0.002909176
6919,124.079,2544,2.029339841,30.81066872,825.9463877,4.045976654,0.989157351,0.004845481
6921,124.933,2544,5.940663159,45.51954006,836.1595603,2.342465586,1.001388695,0.002805348
6923,125.01,2544,6.062057857,44.24795058,833.3252599,2.340727761,0.997994323,0.002803267
6924,125.439,2544,5.066882535,47.18322838,837.566399,2.619771621,1.003073532,0.003137451
6925,125.692,2544,6.039629198,42.61408639,826.6583335,2.343047322,0.99000998,0.002806045
6927,125.796,2544,5.428935321,50.28607316,843.1812102,2.345126878,1.009797857,0.002808535
6929,125.817,974,6.910371168,33.10209192,831.4503183,2.266564824,0.995748884,0.002714449
6929,125.817,974,5.218404756,42.25594442,832.6717447,2.83895655,0.99721167,0.003399948
6931,125.924,2544,6.835771009,46.6852421,830.9076304,2.217894303,0.995098959,0.002656161
6931,125.924,2544,2.060670127,28.35546158,827.9075727,4.225140756,0.991506075,0.005060049
6939,126.44,974,5.788608354,29.79757016,834.9489235,2.265185671,0.999938831,0.002712797
6939,126.44,974,4.94073747,30.65195546,825.5323981,2.642027422,0.988661555,0.003164105
6940,126.518,2544,5.937322533,50.97155323,846.7625725,2.304026097,1.014086913,0.002759313
6940,126.518,2544,3.144259522,33.37309821,828.6065903,3.353558951,0.992343222,0.004016238
6942,126.884,2544,6.513447517,55.1219154,834.4626579,2.371396441,0.999356477,0.002839996
6944,127.367,2544,5.667608232,48.5313065,837.453586,2.250402191,1.002938426,0.002695092
6946,127.491,2544,6.582277466,56.32689944,835.1634621,2.13233079,1.000195763,0.00255369
6953,127.562,2544,6.700612993,67.08516046,851.340696,2.303833995,1.019569696,0.002759083
6953,127.562,2544,2.007677473,31.86684181,828.7754531,4.464402176,0.992545453,0.005346589
